EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8  ForceX ForceY ForceZ tauX tawY tayZ Angle_deg TimeStep_ms
 -33   -9    4     -5    1     -2    -3    -7    0
 16    -88   -40   17    -10   -12   -14   -36  -1.889 0.547 -52.889 2.857 0.132 0.055 0
 16    -88   -40   17    -10   -12   -14   -36  -1.963 0.535 -53.142 2.861 0.133 0.056 0
 9     -4    -57   19    2     -4    -3    10   -2.021 0.530 -53.347 2.867 0.135 0.057 0
 9     -4    -57   19    2     -4    -3    10   -2.077 0.531 -53.555 2.872 0.136 0.059 0
 -19   65    27    12    -6    -5    -5    -5   -2.126 0.533 -53.762 2.877 0.137 0.061 0
 -19   65    27    12    -6    -5    -5    -5   -2.174 0.528 -53.966 2.880 0.137 0.062 0
 -19   65    27    12    -6    -5    -5    -5   -2.222 0.516 -54.201 2.884 0.137 0.063 0
 -19   65    27    12    -6    -5    -5    -5   -2.250 0.507 -54.329 2.887 0.138 0.063 0
 -10   11    48    -15   -5    -4    -2    9    -2.289 0.506 -54.472 2.893 0.138 0.062 0
 -10   11    48    -15   -5    -4    -2    9    -2.341 0.503 -54.597 2.896 0.138 0.064 0
 -10   11    48    -15   -5    -4    -2    9    -2.394 0.485 -54.703 2.899 0.138 0.067 0
 -10   11    48    -15   -5    -4    -2    9    -2.477 0.453 -54.785 2.904 0.137 0.074 0
 -23   7     20    6     10    5     4     11   -2.552 0.421 -54.825 2.910 0.136 0.082 0
 -7    37    38    -20   -4    2     5     19   -2.606 0.410 -54.825 2.917 0.135 0.089 0
 -7    37    38    -20   -4    2     5     19   -2.669 0.408 -54.818 2.927 0.134 0.098 0
 -7    37    38    -20   -4    2     5     19   -2.719 0.435 -54.782 2.941 0.132 0.108 0
 -7    37    38    -20   -4    2     5     19   -2.747 0.465 -54.759 2.954 0.131 0.116 0
 -3    -5    -27   -9    -3    -6    -7    -16  -2.754 0.491 -54.751 2.966 0.129 0.123 0
 -3    -5    -27   -9    -3    -6    -7    -16  -2.744 0.501 -54.769 2.979 0.127 0.128 0
 -43   -39   -28   31    10    1     1     0    -2.712 0.500 -54.825 2.989 0.126 0.130 0
 -43   -39   -28   31    10    1     1     0    -2.667 0.490 -54.933 2.997 0.126 0.129 0
 -43   -39   -28   31    10    1     1     0    -2.623 0.479 -55.087 3.001 0.126 0.128 0
 -43   -39   -28   31    10    1     1     0    -2.593 0.463 -55.286 3.004 0.125 0.130 0
 11    6     2     -4    -5    -2    -2    -6   -2.557 0.418 -55.600 3.002 0.125 0.129 0
 11    6     2     -4    -5    -2    -2    -6   -2.542 0.370 -55.876 2.996 0.125 0.129 0
 11    6     2     -4    -5    -2    -2    -6   -2.536 0.304 -56.174 2.986 0.125 0.128 0
 48    11    -2    -13   -3    3     3     -2   -2.538 0.228 -56.458 2.973 0.126 0.126 0
 48    11    -2    -13   -3    3     3     -2   -2.545 0.150 -56.695 2.962 0.128 0.124 0
 32    7     7     -3    5     5     7     22   -2.552 0.038 -56.909 2.951 0.130 0.118 0
 32    7     7     -3    5     5     7     22   -2.567 -0.070 -56.990 2.945 0.132 0.111 0
 32    7     7     -3    5     5     7     22   -2.576 -0.120 -56.965 2.946 0.134 0.106 0
 32    7     7     -3    5     5     7     22   -2.586 -0.164 -56.848 2.951 0.137 0.098 0
 -57   29    74    -25   -7    -1    -1    -19  -2.617 -0.165 -56.578 2.963 0.139 0.091 0
